Latitude,Longitude
55.7268, 37.6153
55.7273, 37.62
55.7292, 37.6197
55.7298, 37.6239
55.7321, 37.6243
55.7369, 37.6244
55.74, 37.6246
55.7424, 37.625
55.7451, 37.6246
55.7458, 37.6247
55.7459, 37.6264
55.7478, 37.6257
55.749, 37.6251
55.7489, 37.6321
55.747, 37.6386
55.7409, 37.6452
55.7311, 37.6506
55.7289, 37.6541
55.7282, 37.6521
55.7283, 37.6509
55.7295, 37.6461
55.728, 37.6449
55.7225, 37.6437
55.7222, 37.6418
55.7229, 37.6399
55.7235, 37.6365
55.722, 37.6358
55.7226, 37.6331
55.7213, 37.6276
55.7203, 37.6178
