Latitude,Longitude
55.6947, 37.4663
55.6973, 37.4684
55.6987, 37.4702
55.7009, 37.4739
55.7028, 37.4772
55.7049, 37.4821
55.7074, 37.4881
55.711, 37.4915
55.7148, 37.4933
55.7181, 37.4933
55.7201, 37.4947
55.7202, 37.4934
55.72, 37.4925
55.7195, 37.4924
55.7192, 37.4928
55.7189, 37.493
55.7181, 37.4924
55.7184, 37.4907
55.7183, 37.4895
55.7184, 37.4884
55.7191, 37.4867
55.7201, 37.4859
55.7209, 37.484
55.7211, 37.4831
55.721, 37.4808
55.7211, 37.4786
55.7215, 37.4767
55.7196, 37.4729
55.7185, 37.4723
55.7194, 37.4702
55.719, 37.469
55.7181, 37.4694
55.7172, 37.4721
55.716, 37.4713
55.7159, 37.4705
55.7155, 37.4715
55.715, 37.4713
55.7148, 37.4706
55.7137, 37.4713
55.7136, 37.4681
55.7147, 37.4685
55.7156, 37.4669
55.7136, 37.4636
55.7125, 37.468
55.7113, 37.4668
55.7116, 37.4655
55.711, 37.4656
55.7103, 37.4641
55.7112, 37.462
55.711, 37.4606
55.7104, 37.4596
55.7099, 37.4547
55.7091, 37.4549
55.7096, 37.4472
55.7069, 37.4478
55.7061, 37.4449
55.7053, 37.4388
55.7043, 37.4329
55.7042, 37.4313
55.7064, 37.4283
55.7071, 37.4254
55.7089, 37.4241
55.7094, 37.4224
55.7094, 37.4218
55.7098, 37.422
55.7054, 37.4208
55.7046, 37.4207
55.7047, 37.4197
55.7044, 37.418
55.7069, 37.412
55.7027, 37.4045
55.7005, 37.4059
55.6991, 37.4028
55.6973, 37.4053
55.6945, 37.4091
55.693, 37.4109
55.6907, 37.413
55.6885, 37.4145
55.686, 37.4154
55.6823, 37.4151
55.6806, 37.4185
55.6768, 37.4213
55.6733, 37.424
55.6712, 37.4255
55.6675, 37.4266
55.6643, 37.4307
55.6621, 37.4327
55.6631, 37.4378
55.6654, 37.4408
55.6678, 37.4436
55.6694, 37.4463
55.6708, 37.4509
55.6719, 37.4544
55.6732, 37.4575
55.675, 37.4607
55.6773, 37.4641
55.6788, 37.4662
55.6819, 37.4706
55.6839, 37.4739
55.686, 37.4775
55.6871, 37.4761
55.6878, 37.4752
55.6889, 37.4737
55.6897, 37.4728
55.6908, 37.4712
55.6917, 37.47
55.6929, 37.4685
55.6938, 37.4674
55.6946, 37.4663
