Latitude,Longitude
55.6918, 37.629
55.6996, 37.6282
55.7052, 37.6287
55.7059, 37.6212
55.7051, 37.6165
55.7044, 37.6112
55.7076, 37.6082
55.7075, 37.6075
55.7096, 37.6063
55.7113, 37.6062
55.7167, 37.6085
55.7166, 37.6136
55.7198, 37.6137
55.7203, 37.6178
55.7209, 37.6224
55.7213, 37.6277
55.7226, 37.6331
55.722, 37.6358
55.7235, 37.6365
55.7229, 37.6399
55.7222, 37.6417
55.7224, 37.6438
55.728, 37.6449
55.7295, 37.646
55.7283, 37.6508
55.7281, 37.6521
55.7289, 37.6542
55.7264, 37.6568
55.7268, 37.6631
55.7243, 37.6637
55.7213, 37.6636
55.7189, 37.6635
55.7177, 37.6638
55.7137, 37.6651
55.7084, 37.6668
55.7057, 37.6677
55.7001, 37.6671
55.6944, 37.6664
55.6889, 37.6656
55.6863, 37.6652
55.6842, 37.6397
55.6865, 37.6319
