Latitude,Longitude
55.7213, 37.6004
55.7195, 37.6094
55.7214, 37.6103
55.7211, 37.6143
55.7201, 37.6156
55.7198, 37.6137
55.7166, 37.6136
55.7168, 37.6084
55.7132, 37.6069
55.7113, 37.6062
55.7096, 37.6063
55.7082, 37.6071
55.7075, 37.6075
55.7076, 37.6082
55.7043, 37.6112
55.7045, 37.6122
55.7052, 37.6168
55.7059, 37.6213
55.7053, 37.6286
55.6996, 37.6281
55.6918, 37.6288
55.6892, 37.6142
55.6891, 37.6094
55.6899, 37.6054
55.6915, 37.6018
55.6956, 37.5969
55.7064, 37.5874
55.7068, 37.5883
55.7093, 37.5837
