Latitude,Longitude
55.749, 37.625
55.7485, 37.6251
55.7478, 37.6257
55.7459, 37.6264
55.7458, 37.6247
55.7451, 37.6246
55.7442, 37.6248
55.7424, 37.625
55.7411, 37.6249
55.74, 37.6246
55.7383, 37.6244
55.7368, 37.6243
55.7353, 37.6243
55.7339, 37.6243
55.7322, 37.6243
55.7306, 37.624
55.7298, 37.6239
55.7292, 37.6196
55.7273, 37.6199
55.7269, 37.6151
55.7243, 37.6163
55.7234, 37.6167
55.7214, 37.6174
55.7203, 37.6178
55.7201, 37.6156
55.7211, 37.6143
55.7214, 37.6102
55.7195, 37.6094
55.721, 37.6015
55.7213, 37.6004
55.7143, 37.5902
55.7094, 37.5836
55.714, 37.5773
55.7197, 37.5861
55.7226, 37.5897
55.7245, 37.5915
55.7261, 37.593
55.7311, 37.5973
55.7346, 37.6001
55.7392, 37.6076
55.7444, 37.6096
55.7467, 37.6125
55.7482, 37.6182
