Latitude,Longitude
55.7454, 37.5741
55.7455, 37.5768
55.7459, 37.5796
55.7454, 37.5831
55.7438, 37.5839
55.7441, 37.5875
55.7463, 37.5858
55.7468, 37.5877
55.7473, 37.5923
55.7477, 37.5959
55.747, 37.5997
55.7489, 37.6001
55.7486, 37.6029
55.7504, 37.6043
55.7492, 37.6087
55.7523, 37.6109
55.7546, 37.6122
55.7561, 37.6074
55.7555, 37.6068
55.7547, 37.6063
55.754, 37.606
55.7542, 37.6042
55.7542, 37.6038
55.7538, 37.6027
55.7537, 37.6023
55.7538, 37.6022
55.7538, 37.6012
55.754, 37.6003
55.7541, 37.5994
55.7542, 37.5991
55.7546, 37.5975
55.7567, 37.5896
55.7564, 37.5892
55.758, 37.5851
55.7581, 37.5845
55.7552, 37.5839
55.7552, 37.5768
55.7533, 37.575
55.7526, 37.5739
55.752, 37.5726
55.7498, 37.5743
