Latitude,Longitude
55.8978, 37.6388
55.8952, 37.6732
55.8949, 37.6854
55.8945, 37.6957
55.8929, 37.7037
55.8855, 37.7194
55.876, 37.7385
55.8691, 37.752
55.862, 37.7657
55.8472, 37.7943
55.8432, 37.8023
55.8276, 37.8321
55.822, 37.8373
55.8086, 37.8397
55.7761, 37.8427
55.7662, 37.8431
55.7489, 37.8423
55.714, 37.8385
55.7095, 37.836
55.699, 37.8304
55.693, 37.8291
55.671, 37.8365
55.6628, 37.8396
55.6569, 37.8394
55.6507, 37.835
55.6232, 37.793
55.6016, 37.7536
55.5895, 37.7248
55.5722, 37.6771
55.5717, 37.6644
55.5747, 37.6132
55.5754, 37.5944
55.5962, 37.5104
55.6387, 37.4591
55.6624, 37.4314
55.6927, 37.4112
55.7142, 37.3845
55.7457, 37.3693
55.7897, 37.3714
55.8052, 37.3872
55.8372, 37.3968
55.8468, 37.3914
55.8649, 37.4016
55.8717, 37.4122
55.8816, 37.4467
55.8848, 37.4737
55.8921, 37.497
55.9061, 37.5286
55.9113, 37.5794
