Latitude,Longitude
55.7228, 37.4987
55.7228, 37.4987
55.7228, 37.4987
55.7228, 37.4987
55.7228, 37.4987
55.7228, 37.4987
55.7228, 37.4987
55.7228, 37.4987
55.7228, 37.4987
55.7229, 37.4989
55.7243, 37.5023
55.7256, 37.5064
55.7317, 37.5197
55.7353, 37.5359
55.7356, 37.5396
55.7348, 37.542
55.7336, 37.5432
55.7318, 37.5437
55.728, 37.5472
55.7349, 37.5632
55.7401, 37.5697
55.7454, 37.5741
55.7498, 37.5742
55.7518, 37.5726
55.7536, 37.5673
55.753, 37.5595
55.7511, 37.5537
55.7492, 37.5495
55.747, 37.5444
55.7453, 37.5389
55.7446, 37.5336
55.7447, 37.5295
55.7456, 37.5251
55.7472, 37.5223
55.7466, 37.5201
55.7457, 37.5173
55.7448, 37.5154
55.7438, 37.5137
55.7428, 37.5127
55.7419, 37.5118
55.7403, 37.5103
55.7383, 37.5084
55.7371, 37.5061
55.7362, 37.5037
55.7353, 37.5007
55.7344, 37.4977
55.7337, 37.4935
55.7331, 37.4894
55.7315, 37.4907
55.7299, 37.4922
55.728, 37.4939
55.7256, 37.4961
55.7241, 37.4974
55.7228, 37.4987
