Latitude,Longitude
55.6991, 37.4027
55.7005, 37.4059
55.7028, 37.4044
55.7069, 37.412
55.7044, 37.418
55.7047, 37.4197
55.7046, 37.4207
55.7053, 37.4208
55.7094, 37.4217
55.7094, 37.4226
55.7089, 37.4241
55.7071, 37.4255
55.7064, 37.4283
55.7043, 37.4313
55.7045, 37.4339
55.7053, 37.4386
55.7062, 37.4448
55.707, 37.4478
55.7096, 37.447
55.7092, 37.4548
55.7267, 37.4477
55.7269, 37.4135
55.7298, 37.3904
55.7287, 37.3823
55.7288, 37.3782
55.7189, 37.3831
55.713, 37.3812
55.711, 37.3876
55.709, 37.3895
